Round,AI Rank,State,Institute,Course,Quota,Category,Fee,Beds,Bond Years,Bond Penalty,Stipend Year 1
3,655634,Karnataka,"Sri Siddhartha DentColl,Tumkur",BDS,DEEMED PS,Open,311000,Info Not Available,Info Not Available,Info not available,Info not available
3,655643,Tamil Nadu,"Vinayaka Missions, Salem",MBBS,DEEMED PS,Open,2250000,560,0,0,5000
3,655727,Maharashtra,"BVDU, Sangli",MBBS,DEEMED PS,Open,2552550,853,0,0,Info not available
3,655845,Karnataka,"KS Hegde, Mangalore",MBBS,DEEMED NRI,Open,2828000,1000,Info Not Available,Info not available,30000
3,655865,Maharashtra,"BVDU, Sangli",MBBS,DEEMED PS,Open,2552550,853,0,0,Info not available
3,655892,Pondicherry,"MGMC & RI, Pondicherry",MBBS,DEEMED PS,Open,2702000,1380,0,0,2500
3,655908,Maharashtra,"BVDU, Sangli",MBBS,DEEMED PS,Open,2552550,853,0,0,Info not available
3,655932,Tamil Nadu,"Chettinad Hosp&RI,Kanchipuram",MBBS,DEEMED PS,Open,2700000,1180,0,0,18500
3,655934,Maharashtra,"School of DentSci, KIMS, Karad",BDS,DEEMED PS,Open,425000,283,0,0,Info not available
3,656072,Tamil Nadu,"SRM Med Coll, Kancheepuram",MBBS,DEEMED PS,Open,2800000,1590,0,0,13500
3,656077,Gujarat,"SBKS, Vadadora",MBBS,DEEMED NRI,Open,3440000,1340,0,0,Info not available
3,656226,Tamil Nadu,"Sree Balaji DentalColl,Chennai",BDS,DEEMED PS,Open,500000,Info Not Available,0,0,Info not available
